line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
1,Once a week,Bus,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,,"['Delays', 'Crime / Safety', 'Station infrastructure']",Waiting for signal change,True,Neutral,Queens,Queens Plaza,11367,in person,2019-01-07,07:21:00,1,Monday,7,False
E,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Unaware,Queens,Queens Plaza,,in person,2019-01-07,07:25:00,1,Monday,7,False
F,Once a month,Bus,Other,40 - 60 min,Very satisfied,A few times a week,20 - 45 min,Wait for next train,Only at night,['Delays'],Train traffic,True,Unaware,Queens,Queens Plaza,11432,in person,2019-01-07,07:30:00,1,Monday,7,False
7,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Very satisfied,Everyday,10 - 20 min,Walk,Almost never,,Waiting for signal change,True,Neutral,Queens,Queens Plaza,,in person,2019-01-07,07:39:00,1,Monday,7,False
E,"Weekdays, Mon - Fri",Bus,School,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,Queens,Queens Plaza,11436,in person,2019-01-07,07:49:00,1,Monday,7,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,False,Positive,Queens,30th Ave,11102,in person,2019-01-07,08:01:00,1,Monday,8,False
1,~5 days per week,Walk,Work,40 - 60 min,Neutral,Everyday,10 - 20 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Station infrastructure']",Waiting for signal change,False,Negative,Queens,30th Ave,,in person,2019-01-07,08:13:00,1,Monday,8,False
R,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Queens Plaza,11375,in person,2019-01-07,08:13:00,1,Monday,8,False
1,"More than once a week, varies",Walk,Work,60 - 90 min,Somewhat satisfied,Everyday,20 - 45 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Signal malfunction,False,Positive,Queens,30th Ave,,in person,2019-01-07,08:15:00,1,Monday,8,False
1,~5 days per week,Citibike,School,90 min - 2 hours,Highly unsatisfied,A few times a week,10 - 20 min,Walk,All the time,"['Delays', 'Frequent route changes', 'High fares']",Police incident,True,Positive,Queens,30th Ave,,in person,2019-01-07,08:19:00,1,Monday,8,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Old trains', 'Lack of handicap access']",Train traffic,True,Positive,Queens,Queens Plaza,,in person,2019-01-07,08:20:00,1,Monday,8,False
N,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,False,Positive,Queens,Queens Plaza,,in person,2019-01-07,08:22:00,1,Monday,8,False
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,['Overcrowded trains'],Train traffic,True,Unaware,Queens,Queens Plaza,,in person,2019-01-07,08:25:00,1,Monday,8,False
A,,Walk,Work,60 - 90 min,Very satisfied,A few times a week,20 - 45 min,For-hire vehicle,Only at night,,Weather,True,Other / No thoughts,Queens,Queens Plaza,11208,in person,2019-01-07,08:38:00,1,Monday,8,False
7,Everyday / Almost everyday,Walk,Other,< 20 min,Very satisfied,Never,20 - 45 min,Take a bus,All the time,"['High fares', 'Crime / Safety', 'Station infrastructure']",,True,,Queens,30th Ave,,in person,2019-01-07,08:45:00,1,Monday,8,False
A,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Almost never,"['High fares', 'Overcrowded trains', 'Lack of handicap access']",Signal malfunction,False,Negative,Queens,Queens Plaza,,in person,2019-01-07,08:45:00,1,Monday,8,False
1,~5 days per week,Bus,Work,90 min - 2 hours,Neutral,Rarely,10 - 20 min,Wait for next train,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,True,Positive,Queens,Queens Plaza,10703,in person,2019-01-07,08:51:00,1,Monday,8,False
D,"Weekdays, Mon - Fri",Walk,School,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,True,Unaware,Queens,Queens Plaza,10001,in person,2019-01-07,08:57:00,1,Monday,8,False
7,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Positive,Queens,Queens Plaza,11377,in person,2019-01-07,09:00:00,1,Monday,9,False
